,category,category_english,item_count,revenue,percentage_revenue
0,cama_mesa_banho,bed_bath_table,10657,967713.55,0.092
1,beleza_saude,health_beauty,9052,1008934.77,0.096
2,esporte_lazer,sports_leisure,8154,818729.87,0.078
3,moveis_decoracao,furniture_decor,7674,637797.14,0.061
4,informatica_acessorios,computers_accessories,7263,729985.07,0.07
5,utilidades_domesticas,housewares,6353,514549.75,0.049
6,relogios_presentes,watches_gifts,5453,832869.78,0.08
7,telefonia,telephony,4285,245442.76,0.023
8,ferramentas_jardim,garden_tools,3970,350951.2,0.034
9,automotivo,auto,3912,434388.65,0.041
10,brinquedos,toys,3887,409446.03,0.039
11,cool_stuff,cool_stuff,3537,511091.83,0.049
12,perfumaria,perfumery,3284,381919.3,0.036
13,bebes,baby,2773,273571.35,0.026
14,eletronicos,electronics,2676,134931.71,0.013
15,papelaria,stationery,2417,213906.26,0.02
16,fashion_bolsas_e_acessorios,fashion_bags_accessories,1945,137994.72,0.013
17,pet_shop,pet_shop,1842,177208.04,0.017
18,unknown,unknown,1472,137525.24,0.013
19,moveis_escritorio,office_furniture,1368,205384.9,0.02
20,consoles_games,consoles_games,1028,104038.42,0.01
21,malas_acessorios,luggage_accessories,984,111183.28,0.011
22,construcao_ferramentas_construcao,construction_tools_construction,822,95209.72,0.009
23,eletrodomesticos,home_appliances,714,51283.55,0.005
24,eletroportateis,small_appliances,560,74512.31,0.007
25,instrumentos_musicais,musical_instruments,555,82633.52,0.008
26,casa_construcao,home_construction,546,66900.6,0.006
27,livros_interesse_geral,books_general_interest,530,44353.44,0.004
28,alimentos,food,486,28214.07,0.003
29,moveis_sala,furniture_living_room,441,51684.87,0.005
30,casa_conforto,home_confort,420,55552.67,0.005
31,audio,audio,361,50555.7,0.005
32,bebidas,drinks,339,18992.73,0.002
33,market_place,market_place,293,25075.48,0.002
34,construcao_ferramentas_iluminacao,construction_tools_lights,269,33405.68,0.003
35,climatizacao,air_conditioning,265,38434.9,0.004
36,livros_tecnicos,books_technical,263,18702.23,0.002
37,alimentos_bebidas,food_drink,260,14012.0,0.001
38,fashion_calcados,fashion_shoes,251,22278.57,0.002
39,industria_comercio_e_negocios,industry_commerce_and_business,246,26504.16,0.003
40,telefonia_fixa,fixed_telephony,223,21034.3,0.002
41,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,220,25638.4,0.002
42,construcao_ferramentas_jardim,costruction_tools_garden,218,21370.04,0.002
43,artes,art,194,17009.66,0.002
44,agro_industria_e_comercio,agro_industry_and_commerce,169,36972.69,0.004
45,construcao_ferramentas_seguranca,construction_tools_safety,169,27348.55,0.003
46,sinalizacao_e_seguranca,signaling_and_security,167,15809.66,0.002
47,eletrodomesticos_2,home_appliances_2,164,37692.77,0.004
48,artigos_de_natal,christmas_supplies,139,7496.92,0.001
49,fashion_underwear_e_moda_praia,fashion_underwear_beach,125,9298.15,0.001
50,fashion_roupa_masculina,fashion_male_clothing,125,10452.33,0.001
51,construcao_ferramentas_ferramentas,costruction_tools_tools,96,8890.95,0.001
52,moveis_quarto,furniture_bedroom,89,15412.01,0.001
53,tablets_impressao_imagem,tablets_printing_image,82,6638.42,0.001
54,cine_foto,cine_photo,67,5114.49,0.0
55,dvds_blu_ray,dvds_blu_ray,58,2398.69,0.0
56,livros_importados,books_imported,56,3669.86,0.0
57,artigos_de_festas,party_supplies,42,4465.1900000000005,0.0
58,fashion_roupa_feminina,fashio_female_clothing,42,2534.97,0.0
59,pcs,computers,41,24533.42,0.002
60,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,37,6776.96,0.001
61,musica,music,36,4104.88,0.0
62,flores,flowers,33,1110.04,0.0
63,fraldas_higiene,diapers_and_hygiene,32,1375.79,0.0
64,moveis_colchao_e_estofado,furniture_mattress_and_upholstery,32,3282.8,0.0
65,casa_conforto_2,home_comfort_2,30,760.27,0.0
66,fashion_esporte,fashion_sport,26,1823.73,0.0
67,artes_e_artesanato,arts_and_craftmanship,23,1576.01,0.0
68,cds_dvds_musicais,cds_dvds_musicals,14,730.0,0.0
69,la_cuisine,la_cuisine,14,2054.99,0.0
70,portateis_cozinha_e_preparadores_de_alimentos,portateis_cozinha_e_preparadores_de_alimentos,11,876.63,0.0
71,pc_gamer,pc_gamer,8,1306.95,0.0
72,fashion_roupa_infanto_juvenil,fashion_childrens_clothes,7,519.95,0.0
73,seguros_e_servicos,security_and_services,2,283.28999999999996,0.0
