purchase_date,total_sales_forecast,total_sales_lower_bound,total_sales_upper_bound,trend_component,weekly,sum_seasonal_components
2016-09-15,-173.5999214269068,-10845.331759940316,11089.87838608705,-1107.9359303459999,934.336008919093,934.336008919093
2016-10-03,3124.396683187342,-7261.553142416707,13337.075085022972,-21.393211383307207,3145.7898945706493,3145.7898945706493
2016-10-04,2621.111453561807,-8168.772880178246,12637.042875949062,38.970273003509,2582.141180558298,2582.141180558298
2016-10-05,1850.3372689574637,-8559.61311221322,12088.51868606421,99.3337573903252,1751.0035115671385,1751.0035115671385
2016-10-06,1094.0332506972402,-9550.54078721784,12253.698698030414,159.69724177714167,934.3360089200986,934.3360089200986
2016-10-07,503.92472056595557,-10281.104267693789,10984.138424269744,220.06072616395787,283.8639944019977,283.8639944019977
2016-10-08,-4497.529826261761,-14933.357311280677,6804.649382739493,280.4242105507741,-4777.9540368125345,-4777.9540368125345
2016-10-09,-3578.3928582540657,-13635.261787915391,7172.455667611239,340.7876949375903,-3919.180553191656,-3919.180553191656
2016-10-10,3546.94107388654,-7547.922053650234,14396.5548124264,401.1511793244065,3145.789894562133,3145.789894562133
2016-12-23,5151.913018353436,-5978.247917517034,15937.550420898891,4868.04902394881,283.86399440462634,283.86399440462634
2017-01-05,6587.110329898563,-3956.696086261364,16547.10014373079,5652.774320977421,934.3360089211421,934.3360089211421
2017-01-06,5997.00179976889,-4584.20115634791,16227.022190540463,5713.1378053642375,283.8639944046529,283.8639944046529
2017-01-07,995.5472529400549,-9520.38551324141,11272.651171753469,5773.501289751054,-4777.954036810999,-4777.954036810999
2017-01-08,1914.6842209383117,-7837.3934133369985,12412.50659710372,5833.86477413787,-3919.1805531995583,-3919.1805531995583
2017-01-09,9040.01815309332,-1340.7223522082677,19117.687913643324,5894.228258524686,3145.7898945686347,3145.7898945686347
2017-01-10,8536.73292347277,-1932.1649640864512,19154.858062164563,5954.5917429115025,2582.141180561266,2582.141180561266
2017-01-11,7765.958738863598,-3039.685023921205,18798.133316588122,6014.955227298318,1751.00351156528,1751.00351156528
2017-01-12,7009.65472060606,-3524.4814737629176,17288.581673417513,6075.318711685135,934.3360089209256,934.3360089209256
2017-01-13,6419.54619047224,-3885.010324498612,15703.477550895981,6135.682196071952,283.863994400288,283.863994400288
2017-01-14,1418.0916436410653,-9189.028774954078,12187.14725009169,6196.045680458767,-4777.954036817701,-4777.954036817701
2017-01-15,2337.228611653896,-8404.878420543157,12688.172895073427,6256.409164845583,-3919.180553191687,-3919.180553191687
2017-01-16,9462.562546794521,-854.8635135339266,20536.876223077357,6316.772652230971,3145.789894563549,3145.789894563549
2017-01-17,8959.277320176785,-1361.052663795394,18774.24803945562,6377.136139616359,2582.1411805604253,2582.1411805604253
2017-01-18,8188.503138567402,-2661.3690379206732,18341.254410081427,6437.499627001746,1751.0035115656556,1751.0035115656556
2017-01-19,7432.199123309499,-3374.4496386621213,17672.2161202521,6497.863114387134,934.3360089223646,934.3360089223646
2017-01-20,6842.090596173651,-3198.245847930943,17212.1437091458,6558.2266017725215,283.86399440112893,283.86399440112893
2017-01-21,1840.6360523512376,-9598.306137707928,12158.015359703964,6618.590089157909,-4777.954036806671,-4777.954036806671
2017-01-22,2759.7730233224843,-7863.489976333069,13103.271825251395,6678.953576543297,-3919.1805532208123,-3919.1805532208123
2017-01-23,9885.106958496359,-295.72475565094646,20925.51930240082,6739.317063928685,3145.7898945676748,3145.7898945676748
2017-01-24,9381.821731872544,-354.40236773408407,19327.44746083143,6799.6805513140725,2582.1411805584717,2582.1411805584717
2017-01-25,8611.04755026549,-1787.1780364986612,19253.057468202012,6860.044038699459,1751.0035115660314,1751.0035115660314
2017-01-26,7854.743535003315,-2452.791179372606,19142.033296970123,6920.407526084847,934.3360089184682,934.3360089184682
2017-01-27,7264.635007875755,-2923.3631370446187,17486.637269900737,6980.771013470235,283.86399440552066,283.86399440552066
2017-01-28,2263.180464042249,-8040.294988885486,12629.907977560695,7041.134500855622,-4777.954036813373,-4777.954036813373
2017-01-29,3182.317435028068,-7417.820601476431,13873.714158216291,7101.49798824101,-3919.180553212942,-3919.180553212942
2017-01-30,10307.651370198198,-647.3949517733004,20610.63678966151,7161.861475626398,3145.7898945718002,3145.7898945718002
2017-01-31,9804.366143569414,-385.2378682369558,20258.853633646937,7222.224963011784,2582.1411805576304,2582.1411805576304
2017-02-01,9033.591961962726,-1133.6519915348617,19695.23297758173,7282.588450397172,1751.0035115655533,1751.0035115655533
2017-02-02,8277.287946706147,-2234.767743361513,18211.335649760927,7342.95193778256,934.3360089235866,934.3360089235866
2017-02-03,7687.179419569103,-3197.516149806368,18517.775013908682,7403.315425167947,283.8639944011554,283.8639944011554
2017-02-04,2685.7248765416834,-7550.840065664671,12769.436014971758,7463.678913356058,-4777.954036814374,-4777.954036814374
2017-02-05,3604.8618483340288,-7079.970705434786,15056.726557832018,7524.042401544167,-3919.180553210138,-3919.180553210138
2017-02-06,10730.195784295563,1065.2060158008064,21964.502642262327,7584.4058897322775,3145.7898945632855,3145.7898945632855
2017-02-07,10226.910558480748,-65.41019898851154,20277.141762430812,7644.769377920388,2582.1411805603593,2582.1411805603593
2017-02-08,9456.136377676421,-1726.1294472283666,20367.095438015105,7705.132866108498,1751.0035115679236,1751.0035115679236
2017-02-09,8699.832363217954,-1744.5868491558674,19670.91330326432,7765.496354296609,934.3360089213459,934.3360089213459
2017-02-10,8109.72383688151,-2855.622660887135,18375.590121303154,7825.859842484719,283.8639943967908,283.8639943967908
2017-02-11,3108.2692938517503,-7001.446178374026,12861.663579383001,7886.2233306728285,-4777.954036821078,-4777.954036821078
2017-02-12,4027.4062656477745,-6507.21452987119,13718.275869933366,7946.586818860939,-3919.180553213165,-3919.180553213165
2017-02-13,11152.74020161989,1001.0855388592497,21618.260094215853,8006.95030704905,3145.7898945708403,3145.7898945708403
2017-02-14,10649.454975795566,775.5385005155773,20473.133734816605,8067.31379523716,2582.141180558406,2582.141180558406
2017-02-15,9878.68079499072,-443.560633850737,20675.954982936826,8127.67728342527,1751.0035115654503,1751.0035115654503
2017-02-16,9122.376780536164,-1576.8207848683076,19196.64108423109,8188.04077161338,934.3360089227847,934.3360089227847
2017-02-17,8532.268254207876,-1488.9239689920416,19719.432435515126,8248.40425980149,283.8639944063876,283.8639944063876
2017-02-18,3530.8137111738542,-7412.042724826369,14475.607747068203,8308.767747989601,-4777.954036815747,-4777.954036815747
2017-02-19,4449.950682972418,-5741.267181218561,14775.051951459141,8369.13123617771,-3919.1805532052936,-3919.1805532052936
2017-02-20,11575.28461893736,944.3406110811297,22710.635458634668,8429.494724365823,3145.7898945715374,3145.7898945715374
2017-02-21,11071.999393110385,100.80510373307622,21219.072085944063,8489.858212553932,2582.141180556452,2582.141180556452
2017-02-22,10301.225212309862,369.4189897835342,20325.702318581705,8550.22170074204,1751.0035115678213,1751.0035115678213
2017-02-23,9544.92119784904,-1613.1688787773235,19755.627927555706,8610.585188930152,934.3360089188883,934.3360089188883
2017-02-24,8954.812671863587,-956.3309676415955,18736.438305065098,8670.94867746677,283.8639943968174,283.8639943968174
2017-02-25,3953.358129198674,-6646.486652230057,13942.866160630276,8731.312166003388,-4777.954036804715,-4777.954036804715
2017-02-26,4872.495101332449,-4802.825180006093,15792.08364575842,8791.675654540006,-3919.180553207557,-3919.180553207557
2017-02-27,11997.829037652285,1053.5492972072882,21994.61746767669,8852.039143076623,3145.7898945756633,3145.7898945756633
2017-02-28,11494.543812173535,30.734731664603274,22338.5068308844,8912.402631613242,2582.1411805602934,2582.1411805602934
2017-03-01,10723.76963171663,-12.823231787499658,20940.830730209113,8972.766120149858,1751.0035115667724,1751.0035115667724
2017-03-02,9967.465617603122,-383.4342899872397,21035.56669718183,9033.129608686475,934.3360089166475,934.3360089166475
2017-03-03,9377.357091620752,-1245.4366620466424,19383.676358826404,9093.493097223094,283.8639943976583,283.8639943976583
2017-03-04,4375.902548953994,-6030.030944339984,14500.481219750744,9153.856585759711,-4777.954036805718,-4777.954036805718
2017-03-05,5295.039521085748,-5699.948986094735,16054.33320283596,9214.22007429633,-3919.180553210583,-3919.180553210583
2017-03-06,12420.373457400096,1470.800054129582,22178.56933259279,9274.583562832948,3145.7898945671473,3145.7898945671473
2017-03-07,11917.088231931473,1633.748940493472,22955.488763161196,9334.947051369563,2582.141180561909,2582.141180561909
2017-03-08,11146.314051471905,505.0624192986974,21584.027497533287,9395.310539906182,1751.0035115657233,1751.0035115657233
2017-03-09,10390.010037364566,-63.030155231823315,21203.10473255447,9455.6740284428,934.3360089217659,934.3360089217659
2017-03-10,9799.901511372711,-680.7674116643833,19825.03999292048,9516.037516979417,283.8639943932934,283.8639943932934
2017-03-11,4798.446968709948,-5601.743274903434,15904.822064786282,9576.401005516036,-4777.954036806088,-4777.954036806088
2017-03-12,5717.583940844874,-5292.996630467182,16420.884714632917,9636.764494052653,-3919.180553207779,-3919.180553207779
2017-03-13,12842.917877157117,2516.55977918784,23579.117220582786,9697.127982589273,3145.7898945678444,3145.7898945678444
2017-03-14,12339.632651686956,2013.7816759664556,22869.232583772846,9757.491471125888,2582.141180561068,2582.141180561068
2017-03-15,11568.858469631079,628.7698285728393,23189.478862258486,9817.854958066404,1751.003511564675,1751.003511564675
2017-03-16,10812.554453924788,66.55181353164215,20588.304611846765,9878.218445006918,934.3360089178695,934.3360089178695
2017-03-17,10222.445926350323,-1187.0575943592,20300.994929754866,9938.581931947432,283.8639944028906,283.8639944028906
2017-03-18,5220.991382080856,-5703.340119396712,15923.629969413167,9998.945418887946,-4777.95403680709,-4777.95403680709
2017-03-19,6140.128352623487,-4048.314143852713,17224.974469131033,10059.308905828462,-3919.1805532049743,-3919.1805532049743
2017-03-20,13265.462287344373,3068.6273188846317,23683.068531696004,10119.672392768975,3145.789894575399,3145.789894575399
2017-03-21,12762.177060272177,1284.2437797918683,22662.731995148082,10180.035879709492,2582.1411805626844,2582.1411805626844
2017-03-22,11991.40287821705,677.8807857838049,23139.070121160385,10240.399366650005,1751.003511567045,1751.003511567045
2017-03-23,11235.098862509829,1248.2554496150485,21436.735784013894,10300.76285359052,934.3360089193086,934.3360089193086
2017-03-24,10644.990334933109,271.5251228968196,21331.08629270729,10361.126340531033,283.86399440207634,283.86399440207634
2017-03-25,5643.535790657758,-5145.419359997814,16763.907977131716,10421.48982747155,-4777.954036813792,-4777.954036813792
2017-03-26,6562.672761209893,-4077.4697599188844,16395.889994863242,10481.853314412063,-3919.1805532021704,-3919.1805532021704
2017-03-27,13688.006695919463,2886.6647568811372,24161.336667882024,10542.216801352579,3145.7898945668844,3145.7898945668844
2017-03-28,13184.721468854936,2652.968085226101,24320.245738783542,10602.580288293091,2582.1411805618436,2582.1411805618436
2017-03-29,12413.947286799603,739.3541805886949,22978.17781686618,10662.943775233607,1751.0035115659964,1751.0035115659964
2017-03-30,11657.643271094867,683.1298948098972,22092.142623185675,10723.30726217412,934.3360089207471,934.3360089207471
2017-03-31,11067.534743512348,438.15447451795535,21639.640093848062,10783.670749114637,283.8639943977114,283.8639943977114
2017-04-01,6066.08019925239,-4412.418912834278,16240.411195018924,10844.034236055151,-4777.954036802761,-4777.954036802761
2017-04-02,6985.217169790467,-3326.988001511021,17592.001014494825,10904.397722995665,-3919.180553205198,-3919.180553205198
2017-04-03,14110.55110450719,4187.441003445874,24508.920314438878,10964.76120993618,3145.7898945710103,3145.7898945710103
2017-04-04,13607.265882406733,2842.1381615797636,23887.137065603874,11025.124701846844,2582.1411805598896,2582.1411805598896
2017-04-05,12836.49170532388,2903.577304502053,23414.5926475134,11085.488193757508,1751.0035115663727,1751.0035115663727
2017-04-06,12080.187694590357,759.00177471321,23609.23100699642,11145.85168566817,934.3360089221859,934.3360089221859
2017-04-07,11490.079171980939,943.7870552209255,21796.183524596352,11206.215177578835,283.8639944021032,283.8639944021032
