purchase_date,total_sales_forecast,total_sales_lower_bound,total_sales_upper_bound,trend_component,weekly,combined_holiday_effect
2016-09-15,82.34264737684327,-9457.39251923497,10589.791405932823,-868.109462646,950.4521100228433,0.0
2016-10-03,3743.9662310927997,-6759.492180257554,14240.364639985306,206.48161246423828,3537.4846186285613,0.0
2016-10-04,2723.0425462305325,-7971.132465916325,13259.00247980856,266.1811166370294,2456.861429593503,0.0
2016-10-05,1975.1070627732915,-8425.14788211376,12859.298365287694,325.88062080982024,1649.2264419634712,0.0
2016-10-06,1336.0322350066297,-9027.382420773125,12862.602201886393,385.5801249826115,950.4521100240181,0.0
2016-10-07,800.4021253028181,-9099.500267563613,11296.636323563833,445.27962915540246,355.1224961474157,0.0
2016-10-08,-4367.287582380355,-14068.658963765862,6680.053212918308,504.9791333281935,-4872.266715708549,0.0
2016-10-09,-3512.201743132544,-13231.981791315176,6956.9002413402995,564.6786375009845,-4076.8803806335286,0.0
2016-10-10,4161.862760293718,-6207.671066001512,14654.854781190053,624.3781416737754,3537.4846186199425,0.0
2016-12-23,5397.263946610872,-5356.9604147703285,15792.057527931593,5042.14145046031,355.12249615056237,0.0
2017-01-05,6768.687114732024,-3448.649881037587,17399.785927722653,5818.235004706593,950.4521100254317,0.0
2017-01-06,6233.057005029627,-4448.130848955632,17273.411341578765,5877.934508879384,355.1224961502428,0.0
2017-01-07,1065.3672973452058,-9647.8811750572,11474.11064915907,5937.634013052175,-4872.266715706969,0.0
2017-01-08,1920.4531365828288,-7511.278839430526,12197.369530553182,5997.333517224966,-4076.8803806421374,0.0
2017-01-09,9594.517640024253,-1441.827488510996,19335.727473383507,6057.033021397757,3537.4846186264963,0.0
2017-01-10,8573.593955168206,-2059.477214843392,19367.33076034863,6116.732525570548,2456.8614295976577,0.0
2017-01-11,7825.658471704042,-2317.3631125099646,18031.394923063668,6176.43202974334,1649.226441960703,0.0
2017-01-12,7186.583643941211,-3855.567891098687,16910.670616930773,6236.13153391613,950.4521100250814,0.0
2017-01-13,6650.953534234396,-3536.3897283424085,16676.704817331996,6295.8310380889225,355.1224961454733,0.0
2017-01-14,1483.2638265472679,-9156.906191911792,11721.87205677421,6355.530542261712,-4872.266715714444,0.0
2017-01-15,2338.3496658009108,-7541.616033762317,12711.488828944062,6415.230046434504,-4076.8803806335936,0.0
2017-01-16,10012.432019740205,-613.7412949711173,20557.38111090843,6474.947401118829,3537.484618621377,0.0
2017-01-17,8991.526185399382,-1242.2629125994529,19582.77854079068,6534.664755803154,2456.8614295962275,0.0
2017-01-18,8243.60855244921,-2036.8173643210102,18708.768613707423,6594.382110487479,1649.226441961732,0.0
2017-01-19,7604.55157519876,-2364.4016042673156,17269.23592669709,6654.099465171803,950.4521100269568,0.0
2017-01-20,7068.939316003076,-3455.445053660498,18046.485714302773,6713.816819856128,355.12249614694815,0.0
2017-01-21,1901.2674588382852,-7918.070937753237,12485.355711474764,6773.534174540453,-4872.266715702168,0.0
2017-01-22,2756.3711485596787,-7777.555935564728,13109.283941253818,6833.251529224777,-4076.8803806650985,0.0
2017-01-23,10430.45350253465,137.3214986456711,20972.79729110362,6892.968883909102,3537.4846186255477,0.0
2017-01-24,9409.547668187504,-1523.9347142583106,19807.212544410777,6952.686238593427,2456.861429594078,0.0
2017-01-25,8661.630035240512,-2033.7244051356843,19084.553501987208,7012.4035932777515,1649.2264419627609,0.0
2017-01-26,8022.573057983996,-3069.5610111505434,17198.826465749287,7072.120947962077,950.4521100219188,0.0
2017-01-27,7486.9607987978,-3420.869577434623,17931.763978943076,7131.838302646402,355.12249615139825,0.0
2017-01-28,2319.288941621083,-8196.638721689453,11846.774784231378,7191.555657330726,-4872.266715709643,0.0
2017-01-29,3174.3926313584952,-6978.230282307991,12787.009646036531,7251.273012015051,-4076.8803806565556,0.0
2017-01-30,10848.474985329092,569.5284082786941,22038.919837647194,7310.990366699376,3537.4846186297173,0.0
2017-01-31,9827.569150976347,-1470.8167602042704,19929.90016892354,7370.707721383699,2456.8614295926477,0.0
2017-02-01,9079.651518029259,-1431.8238930302641,19101.401158404016,7430.425076068024,1649.2264419612352,0.0
2017-02-02,8440.59454078083,-1732.5083591150317,18475.175339219397,7490.142430752349,950.4521100284816,0.0
2017-02-03,7904.982281583302,-2823.1341601515337,17953.76342310473,7549.8597854366735,355.1224961466283,0.0
2017-02-04,2737.3104572446737,-7783.927612047032,12862.926296223319,7609.577172955227,-4872.266715710553,0.0
2017-02-05,3592.4141798201817,-6215.569652722519,13830.206229381147,7669.29456047378,-4076.880380653598,0.0
2017-02-06,11266.49656661343,1376.272661940573,21903.621986572405,7729.011947992331,3537.484618621098,0.0
2017-02-07,10245.590765106852,430.70321473840994,20781.41943139534,7788.729335510884,2456.861429595967,0.0
2017-02-08,9497.67316499355,-1045.664069369858,20491.411851984052,7848.446723029436,1649.2264419641137,0.0
2017-02-09,8858.616220573658,-1391.13927440129,18979.394960674974,7908.164110547989,950.4521100256694,0.0
2017-02-10,8323.0039942084,-1811.475547522398,18536.403122610835,7967.881498066541,355.1224961418586,0.0
2017-02-11,3155.3321698670643,-6502.095261218913,13560.661023686003,8027.598885585094,-4872.266715718029,0.0
2017-02-12,4010.4358924469448,-5706.692035622387,14192.182856360627,8087.3162731036455,-4076.8803806567007,0.0
2017-02-13,11684.518279250966,769.5010642183225,22275.807814653555,8147.033660622198,3537.484618628768,0.0
2017-02-14,10663.612477734567,1214.798245833709,20470.128393526593,8206.75104814075,2456.861429593817,0.0
2017-02-15,9915.694877620042,-205.59372112811363,20601.896673564486,8266.468435659302,1649.2264419607395,0.0
2017-02-16,9276.6379332054,-1215.4632214263931,19990.935564190746,8326.185823177855,950.4521100275444,0.0
2017-02-17,8741.02570684896,-1512.0795568891174,19466.011694359586,8385.903210696408,355.1224961525535,0.0
2017-02-18,3573.3538825026435,-6868.486989610753,13710.886785252464,8445.62059821496,-4872.266715712317,0.0
2017-02-19,4428.457605085354,-5953.03679652312,14849.208697740412,8505.337985733511,-4076.8803806481574,0.0
2017-02-20,12102.539991881506,1396.9990189636753,22848.359865404163,8565.055373252066,3537.4846186294394,0.0
2017-02-21,11081.634190362283,405.9185037369642,21478.62015901909,8624.772760770617,2456.861429591667,0.0
2017-02-22,10333.716590252787,-327.60740627448877,20499.391962608144,8684.49014828917,1649.2264419636174,0.0
2017-02-23,9694.659645830228,-1298.8200782456454,19555.72048214002,8744.207535807722,950.452110022507,0.0
2017-02-24,9159.047418426753,-501.75435969352816,20067.575439393848,8803.924922285214,355.1224961415391,0.0
2017-02-25,3991.3755930626667,-6886.155965045149,15731.876484741491,8863.642308762706,-4872.26671570004,0.0
2017-02-26,4846.479314589414,-6051.083328426273,14737.713958365124,8923.359695240199,-4076.880380650785,0.0
2017-02-27,12520.561700351302,1485.3226844042483,22679.34160868342,8983.077081717693,3537.484618633609,0.0
2017-02-28,11499.655897790892,1338.6235345151433,22450.207643045393,9042.794468195185,2456.8614295957063,0.0
2017-03-01,10751.73829663512,764.1215843450525,20705.76953609166,9102.511854672675,1649.2264419624444,0.0
2017-03-02,10112.681351169862,258.5434437595518,20042.587871263375,9162.229241150168,950.4521100196948,0.0
2017-03-03,9577.069123770674,-1362.472912991599,19979.103570083596,9221.94662762766,355.1224961430142,0.0
2017-03-04,4409.397298404202,-5469.511390857429,15152.673294781893,9281.664014105152,-4872.26671570095,0.0
2017-03-05,5264.501019928757,-5201.011487766408,15642.658319933524,9341.381400582644,-4076.8803806538876,0.0
2017-03-06,12938.583405685124,2416.754153677611,24009.64433361581,9401.098787060135,3537.4846186249897,0.0
2017-03-07,11917.677603135933,853.500073961903,22963.98209508142,9460.816173537627,2456.8614295983057,0.0
2017-03-08,11169.760001976392,1270.977618386175,21917.96602587198,9520.53356001512,1649.226441961272,0.0
2017-03-09,10530.70305651887,-350.63901821227313,20618.249785253192,9580.250946492613,950.4521100262573,0.0
2017-03-10,9995.09082910835,-251.80356491697805,20159.869783758102,9639.968332970106,355.1224961382447,0.0
2017-03-11,4827.419003745793,-5503.066292179694,15745.331602392243,9699.685719447596,-4872.266715701803,0.0
2017-03-12,5682.522725274158,-3780.4441897375254,15754.084590437766,9759.403105925088,-4076.8803806509304,0.0
2017-03-13,13356.605111028242,3071.5884922464284,24075.648391061473,9819.120492402582,3537.4846186256605,0.0
2017-03-14,12335.699308476947,2381.9577105651624,22366.727776813128,9878.837878880071,2456.861429596876,0.0
2017-03-15,11587.781747344907,1494.403107904257,21848.457829769257,9938.555305384807,1649.2264419600995,0.0
2017-03-16,10948.724841910764,509.3622603395079,21022.505711521815,9998.272731889543,950.4521100212196,0.0
2017-03-17,10413.112654543216,1050.001346399129,20426.34023120765,10057.990158394277,355.1224961489394,0.0
2017-03-18,5245.4408691963,-5465.900880128662,16336.256217206821,10117.707584899013,-4872.266715702714,0.0
2017-03-19,6100.544630755776,-4080.144995053913,16782.967692596096,10177.425011403748,-4076.8803806479723,0.0
2017-03-20,13774.62705654181,3461.5221218048555,24400.248489873447,10237.14243790848,3537.4846186333307,0.0
2017-03-21,12753.721294012692,2210.6342913120766,22948.03232969883,10296.859864413216,2456.861429599475,0.0
2017-03-22,12005.803732880928,1864.2793023161412,22219.672343093156,10356.57729091795,1649.2264419629773,0.0
2017-03-23,11366.74682744578,578.4091182875048,21143.43216036256,10416.294717422687,950.4521100230946,0.0
2017-03-24,10831.134640074562,64.25485473083404,20438.59481576437,10476.012143927417,355.1224961471447,0.0
2017-03-25,5663.462854721968,-5030.657336712316,16220.882340172677,10535.729570432157,-4872.266715710189,0.0
2017-03-26,6518.566616291875,-3924.344501645945,17087.094099793067,10595.44699693689,-4076.8803806450146,0.0
2017-03-27,14192.649042066334,4381.375026967747,24089.02535128453,10655.164423441624,3537.484618624711,0.0
2017-03-28,13171.743279544404,2927.0712594257293,23723.5390166222,10714.88184994636,2456.861429598045,0.0
2017-03-29,12423.825718412898,2865.603714363226,22802.7399734013,10774.599276451094,1649.2264419618045,0.0
2017-03-30,11784.768812980796,1418.3107553655732,22368.01934108648,10834.316702955826,950.4521100249702,0.0
2017-03-31,11249.156625602935,651.0158533201609,21872.04989655301,10894.03412946056,355.1224961423746,0.0
2017-04-01,6081.484840267385,-4698.843983314106,15846.413274743185,10953.751555965297,-4872.266715697911,0.0
2017-04-02,6936.588601821915,-3739.122007710559,17620.41588458155,11013.468982470033,-4076.880380648118,0.0
2017-04-03,14610.671027603647,4018.238317458797,24469.346660001363,11073.186408974765,3537.4846186288814,0.0
2017-04-04,13589.765273276436,3138.6831368581397,24248.433540769747,11132.903843680542,2456.861429595894,0.0
2017-04-05,12841.84772034915,2277.9970561450755,23929.74389533495,11192.621278386316,1649.226441962834,0.0
2017-04-06,12202.790823118938,1765.136006615289,22553.646904120702,11252.338713092093,950.4521100268453,0.0
2017-04-07,11667.178643944691,801.3572646531978,21987.794133171836,11312.056147797866,355.12249614682537,0.0
2017-04-08,6499.506866798254,-3515.466482161466,16332.683923281105,11371.773582503642,-4872.2667157053875,0.0
2017-04-09,7354.610636564257,-3044.0911016051805,17393.470150464396,11431.491017209417,-4076.8803806451597,0.0
2017-04-10,15028.693070538955,4115.192655110325,25641.690383601323,11491.208451915192,3537.4846186237623,0.0
2017-04-11,14007.78731621471,4150.676957553512,24805.310036984032,11550.925886620966,2456.8614295937446,0.0
2017-04-12,13259.869763288052,2249.7187477850857,23264.313826265934,11610.643321326743,1649.2264419613086,0.0
2017-04-13,12620.812866054324,2101.0587257824814,23401.370734442386,11670.360756032516,950.4521100218078,0.0
2017-04-14,4807.955637526594,-5170.03206292733,15053.25202847222,11730.078190738293,355.1224961483001,-7277.24504936
2017-04-15,6917.528909737769,-3323.092948402404,17184.068207997017,11789.795625444067,-4872.266715706298,0.0
2017-04-16,7772.632679513226,-2785.4335983334313,18637.038104618237,11849.513060149842,-4076.8803806366163,0.0
2017-04-17,15446.71511347426,5367.798488632046,25618.032621427206,11909.230494855618,3537.4846186186423,0.0
2017-04-18,14425.809359158457,4463.512169866958,24639.06826093484,11968.947929561393,2456.8614295970638,0.0
2017-04-19,13677.891806229505,3043.9100734293997,23860.381784486795,12028.665364267168,1649.2264419623377,0.0
2017-04-20,13038.834908999088,2844.8522611831863,22724.78348010693,12088.382798972943,950.4521100261447,0.0
2017-04-21,6903.352647068492,-3160.7798364324567,17561.79168438121,12148.100233678717,355.122496149775,-5599.8700827600005
2017-04-22,7335.550952677288,-2820.733366367238,17919.92220495189,12207.817668384496,-4872.266715707208,0.0
2017-04-23,8190.65476234482,-2046.6706573827253,18807.742126242996,12267.53514299571,-4076.8803806508904,0.0
2017-04-24,15864.737236229741,6207.073721809679,26249.385433143416,12327.252617606928,3537.484618622813,0.0
2017-04-25,14843.831521813774,3927.6925979261623,24941.457692732547,12386.97009221814,2456.8614295956336,0.0
2017-04-26,14095.91400879052,3934.664402948108,25002.58806738665,12446.687566829356,1649.2264419611643,0.0
2017-04-27,13456.857151463902,3053.568293744314,23967.619416169153,12506.40504144057,950.4521100233326,0.0
2017-04-28,12921.245012206013,3137.7072153544177,23511.658571763965,12566.122516051788,355.1224961542256,0.0
2017-04-29,7753.5732749615045,-2404.606407129806,17890.969014084294,12625.839990663,-4872.266715701496,0.0
2017-04-30,8608.677084631869,-2284.881409647699,19144.932436050596,12685.557465274216,-4076.8803806423475,0.0
2017-05-01,13886.795909212413,3771.147124875299,24469.503371422892,12745.27493988543,3537.4846186269824,-2395.9636493000003
2017-05-02,15261.853844090852,4866.611497304978,25659.664730793018,12804.992414496648,2456.8614295942043,0.0
2017-05-03,14513.936331067853,4661.123350957816,24711.445745053985,12864.70988910786,1649.2264419599924,0.0
2017-05-04,13874.879473746745,3379.371760002614,24479.874529781708,12924.427363719076,950.4521100276696,0.0
2017-05-05,13339.267334479746,2408.269331525925,24192.40881916998,12984.14483833029,355.12249614945557,0.0
2017-05-06,8171.5955972325355,-1431.8035203756467,18554.76940208058,13043.862312941508,-4872.266715708973,0.0
2017-05-07,9026.6994068961,-1436.0323465634565,19422.03283744008,13103.57978755272,-4076.880380656621,0.0
2017-05-08,16700.78188079159,6406.666219246736,26587.34986333975,13163.297262163936,3537.484618627653,0.0
2017-05-09,15679.876166372676,4874.501292796381,27022.313781464116,13223.014736775152,2456.8614295975235,0.0
2017-05-10,14931.958653347037,4901.610065318132,25252.44497887015,13282.732211386368,1649.2264419606686,0.0
2017-05-11,14292.901796022437,3850.190736619985,24638.590067916848,13342.44968599758,950.4521100248575,0.0
2017-05-12,13757.289656753483,3604.326833414454,24302.105412129018,13402.167160608797,355.12249614468607,0.0
2017-05-13,8589.617941485909,-1648.533126011785,18971.443825276438,13461.884657202356,-4872.266715716447,0.0
2017-05-14,9444.721773136196,-1873.7835707902263,19811.93638622283,13521.60215379592,-4076.8803806597243,0.0
2017-05-15,17118.804269015513,6756.500683928177,27417.999017047034,13581.31965038948,3537.4846186260334,0.0
2017-05-16,16097.898576578415,5728.770602907928,25684.988904187823,13641.037146983042,2456.8614295953726,0.0
2017-05-17,15349.9810855383,5241.27905199201,25678.9376891088,13700.754643576602,1649.226441961698,0.0
2017-05-18,14710.924250196898,5213.809447822303,25167.636630131896,13760.472140170166,950.4521100267327,0.0
2017-05-19,14175.312132909889,4214.1410864178215,24511.591630109648,13820.189636763727,355.1224961461609,0.0
2017-05-20,9007.640417646553,-1638.2223111637634,19668.960052325103,13879.907133357288,-4872.266715710735,0.0
2017-05-21,9862.744249294083,-625.2688690742757,19675.937083948094,13939.62462995085,-4076.880380656766,0.0
2017-05-22,17536.826745171114,6878.164617137673,28520.977987963193,13999.342126544412,3537.484618626704,0.0
2017-05-23,16515.921052731195,5643.723363675119,26346.935968309437,14059.059623137973,2456.861429593222,0.0
2017-05-24,15768.003561691707,4854.475755469461,26836.963410970737,14118.777119731534,1649.2264419601725,0.0
2017-05-25,15128.94672634679,5258.330942066752,25152.865881202262,14178.494616325095,950.4521100216953,0.0
2017-05-26,14593.334609063026,4006.0483250141933,25199.33794852108,14238.21211291866,355.1224961443663,0.0
2017-05-27,9425.662893800572,-1477.8117732803146,19575.30476229461,14297.929609512219,-4872.266715711647,0.0
2017-05-28,10280.766725451973,156.95705130745083,19919.16567328366,14357.647106105782,-4076.8803806538085,0.0
2017-05-29,17954.849221330216,7770.532145170901,28504.560418918696,14417.364602699341,3537.4846186308746,0.0
2017-05-30,16933.943528884698,6154.52948724888,26179.411460392123,14477.082099292906,2456.861429591792,0.0
2017-05-31,16186.026037849517,6323.802580514699,26425.54488707988,14536.799595886467,1649.2264419630505,0.0
2017-06-01,15546.970499134737,4642.6048159647125,25488.12212627879,14596.518389111166,950.4521100235703,0.0
2017-06-02,15011.35967848171,4641.597686628865,25404.101890093054,14656.237182335868,355.1224961458416,0.0
2017-06-03,9843.689259861201,-704.8135058721323,20322.36320375283,14715.95597556057,-4872.266715699368,0.0
2017-06-04,10698.794388134418,179.53861120948898,20675.993806631257,14775.674768785268,-4076.8803806508504,0.0
2017-06-05,18372.878180632226,8007.845500209976,28516.285886684596,14835.393562009971,3537.4846186222553,0.0
2017-06-06,17351.97378482906,7826.922106450245,27490.895448677547,14895.11235523467,2456.8614295943908,0.0
2017-06-07,16604.05759041905,6358.140478148097,27721.762869193797,14954.83114845937,1649.2264419596759,0.0
2017-06-08,15965.002051709516,4934.915825525459,25964.83718039479,15014.54994168407,950.4521100254456,0.0
2017-06-09,15429.391231049845,5836.652120277262,25867.150508013125,15074.268734908774,355.1224961410715,0.0
2017-06-10,10261.72081243325,-343.1669321424585,20402.549399330397,15133.987528133472,-4872.266715700222,0.0
2017-06-11,11116.82594070422,1087.2456584515462,22401.068463125157,15193.706321358173,-4076.880380653953,0.0
2017-06-12,18790.909733209297,8393.683776291533,29585.698001505058,15253.425114582873,3537.484618626425,0.0
2017-06-13,17770.005337400537,7669.359951233063,28001.340250790206,15313.143907807575,2456.861429592962,0.0
2017-06-14,17022.08914299298,7131.712582926048,27423.097367938448,15372.862701032274,1649.2264419607052,0.0
2017-06-15,16383.033604284297,5660.890538485285,26746.323182123244,15432.581494256976,950.4521100273206,0.0
2017-06-16,15847.422783633443,5123.252070336434,25763.03828323822,15492.300287481676,355.12249615176654,0.0
2017-06-17,10679.752365005246,852.4096036903676,20977.07945668619,15552.019080706377,-4872.266715701132,0.0
2017-06-18,11534.857493274492,1497.6195113620731,21318.161115841183,15611.737873931075,-4076.880380656582,0.0
2017-06-19,19208.941285786375,9062.922378172716,28845.263929592922,15671.456667155779,3537.484618630596,0.0
2017-06-20,18188.036889976036,7870.398611654553,28297.327669858187,15731.175460380477,2456.8614295955604,0.0
2017-06-21,17440.626511489972,6283.033192200471,28146.961676775867,15791.400069526391,1649.226441963583,0.0
2017-06-22,16802.076788694583,6736.519319646415,26934.069394503385,15851.6246786723,950.4521100222833,0.0
2017-06-23,16266.97178396521,5980.944970404853,25909.21867668117,15911.849287818213,355.1224961469968,0.0
2017-06-24,11099.807181255517,636.6990221960259,21634.103785632262,15972.073896964126,-4872.266715708609,0.0
2017-06-25,11955.418125462002,857.2798502941205,22425.985997643667,16032.298506110039,-4076.880380648038,0.0
2017-06-26,19630.007733890714,8315.745534671252,30362.602555604437,16092.52311525595,3537.4846186347654,0.0
2017-06-27,18609.609154001468,7904.412737074799,28863.41371323684,16152.747724401865,2456.8614295996013,0.0
2017-06-28,17862.198775510184,6821.719901092514,27949.293829279115,16212.972333547774,1649.2264419624105,0.0
2017-06-29,17223.649052722532,6909.714964418218,27474.112958668004,16273.196942693688,950.4521100288457,0.0
2017-06-30,16688.544047981828,6196.71190061141,27433.026238506547,16333.4215518396,355.1224961422275,0.0
2017-07-01,11521.37944528256,1994.4947705657898,21745.054217386594,16393.646160985514,-4872.266715702954,0.0
2017-07-02,12376.990389480283,2156.1510425188153,22872.66849033353,16453.870770131423,-4076.880380651141,0.0
2017-07-03,20051.579997903485,9209.409702755427,30091.588126437447,16514.09537927734,3537.484618626146,0.0
2017-07-04,19031.1814180207,8557.45300455631,29490.242529636544,16574.31998842325,2456.8614295974503,0.0
2017-07-05,18283.7710395326,7339.420917927179,29172.007932009165,16634.544597569162,1649.2264419634394,0.0
2017-07-06,17645.22131674111,7312.9998062921695,27937.19830273327,16694.769206715075,950.4521100260338,0.0
2017-07-07,17110.11631201064,7431.337425125908,27281.913203179734,16754.993815860988,355.1224961496525,0.0
2017-07-08,11942.951709303094,1960.9372773361838,22727.91343566659,16815.2184250069,-4872.266715703807,0.0
2017-07-09,12798.56265350463,2342.1878449285277,23358.112664334498,16875.443034152813,-4076.8803806481833,0.0
2017-07-10,20475.790484977984,10215.584495322862,31499.475837488797,16938.30586634417,3537.484618633816,0.0
2017-07-11,19458.030128130824,8689.82974630636,30360.36661180457,17001.168698535523,2456.8614295953,0.0
2017-07-12,18713.25797268694,8515.567358697368,29483.98265192917,17064.031530726876,1649.2264419600644,0.0
2017-07-13,18077.34647293923,8454.184018261041,28093.577360584553,17126.894362918232,950.4521100209961,0.0
2017-07-14,17544.879691260714,7285.528251790672,28721.980539161945,17189.757195109585,355.12249615112734,0.0
2017-07-15,12380.35331159622,1997.1076308496363,22647.800550500764,17252.620027300938,-4872.266715704717,0.0
2017-07-16,13238.60247885265,2327.4640712676405,24852.814850042832,17315.48285949229,-4076.8803806396404,0.0
2017-07-17,20915.830310308844,11060.2130355427,31249.78036627562,17378.345691683648,3537.484618625197,0.0
2017-07-18,19898.06995347362,9699.537906186753,30947.716744063848,17441.208523875,2456.8614295986195,0.0
2017-07-19,19153.297798029296,8668.407822221405,29456.93350922068,17504.071356066353,1649.226441962943,0.0
2017-07-20,18517.386298280577,7858.153453548483,28681.27301935498,17566.934188257706,950.4521100228711,0.0
2017-07-21,17984.919516595426,7819.541916717964,28637.604062291553,17629.797020449067,355.12249614635783,0.0
2017-07-22,12820.393136934788,2316.577306628925,23340.122158415707,17692.659852640416,-4872.266715705627,0.0
2017-07-23,13678.642304189505,3427.963691239192,24303.264280301217,17755.522684831772,-4076.8803806422675,0.0
2017-07-24,21355.870135646703,10961.525165698751,31087.191110114443,17818.385517023125,3537.4846186235777,0.0
2017-07-25,20338.10977881167,9866.012350692772,31055.532151014362,17881.248349214482,2456.8614295971897,0.0
2017-07-26,19593.337623367603,8543.767259248196,29700.80285524912,17944.11118140583,1649.22644196177,0.0
2017-07-27,18957.42612361725,8306.96584413482,29156.392053877404,18006.97401359719,950.452110020059,0.0
2017-07-28,18424.959341936377,8001.564899697969,29023.10889587559,18069.836845788544,355.1224961478331,0.0
2017-07-29,13260.432962279978,2091.747976846774,23291.094611624896,18132.699677979894,-4872.266715699915,0.0
2017-07-30,14122.143300766971,4350.868306236971,24748.63415991192,18199.023681412342,-4076.88038064537,0.0
2017-07-31,21802.832303469037,11575.800284616264,32128.240129445632,18265.34768484479,3537.4846186242476,0.0
2017-08-01,20788.533117872277,10498.95274826143,30654.70067228486,18331.671688277238,2456.8614295950388,0.0
2017-08-02,20047.222133670286,9383.390281309104,31004.830479663306,18397.99569170969,1649.226441960598,0.0
2017-08-03,19414.77180516899,9256.175168032167,30539.385336032883,18464.319695142134,950.4521100268579,0.0
2017-08-04,18885.766194720625,8055.237787966325,29150.649679050806,18530.643698574586,355.1224961460379,0.0
2017-08-05,13724.700986299642,2824.8792883868628,24782.963952614686,18596.967702007034,-4872.266715707391,0.0
2017-08-06,14586.411324797065,4104.10219079541,25181.43547394676,18663.29170543948,-4076.8803806424135,0.0
2017-08-07,22267.100327496846,11543.445086083495,32654.99750515135,18729.615708871926,3537.4846186249183,0.0
2017-08-08,21252.801141897988,10400.381127161987,31951.392444040444,18795.93971230438,2456.8614295936095,0.0
2017-08-09,20511.490157698096,10298.61142122503,30380.10014613223,18862.263715736823,1649.2264419612738,0.0
2017-08-10,19879.03982919332,9970.663074166194,30566.502114551666,18928.587719169274,950.4521100240457,0.0
2017-08-11,19350.034218749235,8548.047953789774,30345.731852659534,18994.911722601722,355.1224961475132,0.0
2017-08-12,14188.969010325865,3502.2062869435877,24402.464090887082,19061.235726034167,-4872.266715708301,0.0
2017-08-13,15050.67934882716,3575.800026565449,24808.556069852137,19127.559729466615,-4076.880380639455,0.0
2017-08-14,22731.368351522364,11792.30672525102,32680.22954067928,19193.883732899067,3537.4846186232985,0.0
2017-08-15,21717.069165927718,11822.549664647537,32224.59255006182,19260.20773633151,2456.8614295962084,0.0
2017-08-16,20975.758181726265,10611.441398134892,30792.918035610626,19326.531739763963,1649.2264419623032,0.0
2017-08-17,20343.307853222337,9757.769746543934,30515.974789794876,19392.855743196415,950.452110025921,0.0
2017-08-18,19814.32375727754,9725.249083090272,29689.679118408414,19459.20126112855,355.12249614898855,0.0
2017-08-19,14653.2800633449,4171.414110039761,25225.71297372973,19525.546779060678,-4872.266715715777,0.0
2017-08-20,15515.011916333024,5411.8809036591265,26041.646664130443,19591.892296992813,-4076.88038065979,0.0
2017-08-21,23195.72243354892,12944.144945838865,32635.11863306162,19658.23781492495,3537.484618623969,0.0
2017-08-22,22181.44476245185,11817.254708473127,31428.35204096014,19724.583332857073,2456.8614295947777,0.0
2017-08-23,21440.15529275034,11256.443935130126,31705.700578888926,19790.92885078921,1649.2264419611304,0.0
2017-08-24,20807.72647874446,10541.298142442201,31275.363297889315,19857.274368721348,950.4521100231088,0.0
