date,sales
2016-09-15,134.97
2016-10-03,441.98
2016-10-04,8595.89
2016-10-05,6169.77
2016-10-06,5889.96
2016-10-07,6075.35
2016-10-08,7592.89
2016-10-09,2399.7
2016-10-10,3159.57
2016-12-23,10.9
2017-01-05,396.90000000000003
2017-01-06,916.38
2017-01-07,1351.9
2017-01-08,449.78000000000003
2017-01-09,673.79
2017-01-10,1434.87
2017-01-11,1855.27
2017-01-12,1478.59
2017-01-13,2450.68
2017-01-14,876.89
2017-01-15,2199.57
2017-01-16,3275.02
2017-01-17,3302.5299999999997
2017-01-18,3216.49
2017-01-19,3553.9500000000003
2017-01-20,4035.83
2017-01-21,1724.1100000000001
2017-01-22,3619.27
2017-01-23,6299.22
2017-01-24,5155.3
2017-01-25,6715.95
2017-01-26,12907.97
2017-01-27,11079.05
2017-01-28,5056.01
2017-01-29,5966.76
2017-01-30,10241.15
2017-01-31,10476.630000000001
2017-02-01,7430.7699999999995
2017-02-02,8813.65
2017-02-03,9591.02
2017-02-04,13575.37
2017-02-05,7807.89
2017-02-06,9399.76
2017-02-07,13534.7
2017-02-08,11470.79
2017-02-09,8971.6
2017-02-10,13121.439999999999
2017-02-11,4307.56
2017-02-12,14922.35
2017-02-13,10136.15
2017-02-14,10885.41
2017-02-15,6526.87
2017-02-16,5823.14
2017-02-17,6801.26
2017-02-18,7237.63
2017-02-19,3564.83
2017-02-20,7156.41
2017-02-21,8002.27
2017-02-22,5925.7300000000005
2017-02-23,6271.34
2017-02-24,6260.32
2017-02-25,3573.69
2017-02-26,5132.49
2017-02-27,5764.32
2017-02-28,10701.76
2017-03-01,12203.41
2017-03-02,10837.71
2017-03-03,12353.45
2017-03-04,8559.84
2017-03-05,6248.81
2017-03-06,8408.15
2017-03-07,11388.62
2017-03-08,13109.07
2017-03-09,10836.84
2017-03-10,11916.08
2017-03-11,10513.41
2017-03-12,6496.17
2017-03-13,16202.460000000001
2017-03-14,13935.57
2017-03-15,14362.04
2017-03-16,14134.44
2017-03-17,11910.5
2017-03-18,16145.92
2017-03-19,6335.44
2017-03-20,16611.1
2017-03-21,11311.15
2017-03-22,14150.98
2017-03-23,16073.78
2017-03-24,10059.58
2017-03-25,9301.89
2017-03-26,6101.05
2017-03-27,15563.58
2017-03-28,11420.22
2017-03-29,8164.14
2017-03-30,9795.61
2017-03-31,12170.78
2017-04-01,17518.47
2017-04-02,8999.89
2017-04-03,8843.07
2017-04-04,12301.65
2017-04-05,18078.25
2017-04-06,19111.54
2017-04-07,12642.6
2017-04-08,8457.09
2017-04-09,7472.35
2017-04-10,11022.61
2017-04-11,6972.61
2017-04-12,7790.21
2017-04-13,9581.44
2017-04-14,6704.19
2017-04-15,8210.19
2017-04-16,5005.97
2017-04-17,7432.09
2017-04-18,20737.72
2017-04-19,11755.68
2017-04-20,11885.64
2017-04-21,8326.38
2017-04-22,12716.630000000001
2017-04-23,9829.15
2017-04-24,12946.95
2017-04-25,13523.57
2017-04-26,15365.59
2017-04-27,9521.93
2017-04-28,15571.81
2017-04-29,11543.73
2017-04-30,7981.360000000001
2017-05-01,11786.89
2017-05-02,16495.81
2017-05-03,10018.07
2017-05-04,13398.6
2017-05-05,13518.07
2017-05-06,14328.28
2017-05-07,16303.38
2017-05-08,15745.58
2017-05-09,20525.66
2017-05-10,19628.24
2017-05-11,18058.66
2017-05-12,11656.75
2017-05-13,8267.08
2017-05-14,12765.4
2017-05-15,17679.45
2017-05-16,20951.29
2017-05-17,18130.96
2017-05-18,18205.14
2017-05-19,17490.170000000002
2017-05-20,10538.41
2017-05-21,17175.21
2017-05-22,23970.52
2017-05-23,17020.91
2017-05-24,23197.08
2017-05-25,15034.9
2017-05-26,10411.18
2017-05-27,13327.82
2017-05-28,9262.62
2017-05-29,17489.77
2017-05-30,13384.7
2017-05-31,19230.67
2017-06-01,19287.35
2017-06-02,18417.66
2017-06-03,10363.95
2017-06-04,13693.74
2017-06-05,23204.89
2017-06-06,13387.45
2017-06-07,12212.27
2017-06-08,18379.38
2017-06-09,15921.35
2017-06-10,7892.91
2017-06-11,14114.66
2017-06-12,14090.08
2017-06-13,13002.7
2017-06-14,18546.28
2017-06-15,12079.87
2017-06-16,12507.45
2017-06-17,10964.72
2017-06-18,15510.59
2017-06-19,22021.52
2017-06-20,10658.53
2017-06-21,6135.75
2017-06-22,8458.62
2017-06-23,12664.1
2017-06-24,8146.75
2017-06-25,17000.09
2017-06-26,12977.97
2017-06-27,16649.71
2017-06-28,14457.85
2017-06-29,12069.63
2017-06-30,12736.89
2017-07-01,11434.35
2017-07-02,11220.56
2017-07-03,15201.36
2017-07-04,14979.35
2017-07-05,20403.03
2017-07-06,20570.579999999998
2017-07-07,13008.89
2017-07-08,9948.56
2017-07-09,8070.58
2017-07-10,17312.03
2017-07-11,18971.1
2017-07-12,18444.5
2017-07-13,14325.51
2017-07-14,18595.16
2017-07-15,10880.66
2017-07-16,12627.74
2017-07-17,20215.09
2017-07-18,27382.7
2017-07-19,16171.41
2017-07-20,17839.28
2017-07-21,12597.15
2017-07-22,11409.91
2017-07-23,11601.86
2017-07-24,18073.82
2017-07-25,16789.24
2017-07-26,10615.07
2017-07-27,15518.03
2017-07-28,19422.36
2017-07-29,15127.6
2017-07-30,12149.73
2017-07-31,16976.19
2017-08-01,20993.54
2017-08-02,17797.09
2017-08-03,18086.62
2017-08-04,17777.83
2017-08-05,11793.34
2017-08-06,12902.48
2017-08-07,23058.14
2017-08-08,18661.63
2017-08-09,20128.37
2017-08-10,19865.55
2017-08-11,18794.68
2017-08-12,12384.17
2017-08-13,12244.300000000001
2017-08-14,17758.48
2017-08-15,22813.74
2017-08-16,19745.57
2017-08-17,17770.61
2017-08-18,16734.31
2017-08-19,12842.58
2017-08-20,12873.78
2017-08-21,21433.96
2017-08-22,16293.99
2017-08-23,15873.61
2017-08-24,13003.02
2017-08-25,14462.15
2017-08-26,9698.0
2017-08-27,12893.21
2017-08-28,21281.93
2017-08-29,31588.58
2017-08-30,28804.47
2017-08-31,19702.36
2017-09-01,27438.46
2017-09-02,15875.960000000001
2017-09-03,26415.52
2017-09-04,24757.98
2017-09-05,20674.76
2017-09-06,23742.010000000002
2017-09-07,16863.6
2017-09-08,11484.6
2017-09-09,14514.75
2017-09-10,16832.5
2017-09-11,23246.89
2017-09-12,26238.84
2017-09-13,27169.48
2017-09-14,22188.87
2017-09-15,16760.58
2017-09-16,18965.74
2017-09-17,19753.62
2017-09-18,27232.01
2017-09-19,19616.67
2017-09-20,21587.95
2017-09-21,18024.39
2017-09-22,15388.12
2017-09-23,9720.710000000001
2017-09-24,12516.05
2017-09-25,17502.57
2017-09-26,21017.72
2017-09-27,20579.44
2017-09-28,22993.12
2017-09-29,28399.8
2017-09-30,11375.6
2017-10-01,17843.59
2017-10-02,21525.760000000002
2017-10-03,25396.09
2017-10-04,20682.81
2017-10-05,24851.52
2017-10-06,16738.37
2017-10-07,14887.039999999999
2017-10-08,16539.010000000002
2017-10-09,28850.29
2017-10-10,27879.52
2017-10-11,18735.58
2017-10-12,18272.18
2017-10-13,21956.19
2017-10-14,13160.97
2017-10-15,18058.06
2017-10-16,29840.98
2017-10-17,29361.78
2017-10-18,27035.46
2017-10-19,22959.37
2017-10-20,18463.41
2017-10-21,14332.86
2017-10-22,19110.28
2017-10-23,21682.21
2017-10-24,21720.97
2017-10-25,17397.16
2017-10-26,21191.82
2017-10-27,20119.94
2017-10-28,16172.81
2017-10-29,16583.91
2017-10-30,19194.77
2017-10-31,23724.1
2017-11-01,19363.71
2017-11-02,20924.94
2017-11-03,22601.05
2017-11-04,19033.27
2017-11-05,15678.56
2017-11-06,27449.25
2017-11-07,19521.81
2017-11-08,18534.74
2017-11-09,24307.55
2017-11-10,18709.66
2017-11-11,22768.63
2017-11-12,22464.88
2017-11-13,23792.68
2017-11-14,26154.01
2017-11-15,22591.4
2017-11-16,27674.54
2017-11-17,28711.29
2017-11-18,22164.01
2017-11-19,19622.66
2017-11-20,43405.98
2017-11-21,32749.85
2017-11-22,23623.52
2017-11-23,42982.43
2017-11-24,148453.4
2017-11-25,59780.73
2017-11-26,44000.48
2017-11-27,47037.38
2017-11-28,47188.58
2017-11-29,39093.09
2017-11-30,28435.85
2017-12-01,38637.51
2017-12-02,30769.14
2017-12-03,28805.0
2017-12-04,44999.39
2017-12-05,33204.88
2017-12-06,38561.08
2017-12-07,27579.98
2017-12-08,28848.49
2017-12-09,19669.04
2017-12-10,23843.78
2017-12-11,31970.04
2017-12-12,32660.31
2017-12-13,28710.58
2017-12-14,24592.45
2017-12-15,26295.82
2017-12-16,20125.39
2017-12-17,18858.63
2017-12-18,28478.59
2017-12-19,20356.99
2017-12-20,26574.64
2017-12-21,18208.63
2017-12-22,13801.07
2017-12-23,11384.65
2017-12-24,5600.02
2017-12-25,9630.75
2017-12-26,20071.73
2017-12-27,17218.41
2017-12-28,14647.79
2017-12-29,15803.82
2017-12-30,12917.65
2017-12-31,8462.88
2018-01-01,6628.02
2018-01-02,24562.27
2018-01-03,31061.83
2018-01-04,33709.45
2018-01-05,25901.49
2018-01-06,27513.73
2018-01-07,28320.06
2018-01-08,37591.81
2018-01-09,29756.27
2018-01-10,36982.08
2018-01-11,39473.32
2018-01-12,30079.74
2018-01-13,27402.24
2018-01-14,30518.03
2018-01-15,37765.71
2018-01-16,41606.98
2018-01-17,35253.63
2018-01-18,27684.88
2018-01-19,27146.19
2018-01-20,22052.79
2018-01-21,21728.24
2018-01-22,36774.31
2018-01-23,34046.69
2018-01-24,30834.1
2018-01-25,28737.43
2018-01-26,33558.21
2018-01-27,21279.72
2018-01-28,22561.06
2018-01-29,29778.66
2018-01-30,28519.96
2018-01-31,32076.89
2018-02-01,29805.95
2018-02-02,26531.64
2018-02-03,22822.17
2018-02-04,23436.24
2018-02-05,35437.25
2018-02-06,32850.44
2018-02-07,30436.9
2018-02-08,27074.86
2018-02-09,30486.079999999998
2018-02-10,20551.27
2018-02-11,22000.66
2018-02-12,23056.83
2018-02-13,22687.85
2018-02-14,36524.47
2018-02-15,31290.7
2018-02-16,26638.12
2018-02-17,24533.4
2018-02-18,24119.74
2018-02-19,27472.75
2018-02-20,36234.71
2018-02-21,31386.97
2018-02-22,29696.19
2018-02-23,27789.89
2018-02-24,23995.28
2018-02-25,27850.23
2018-02-26,43103.46
2018-02-27,39782.11
2018-02-28,44335.82
2018-03-01,38355.51
2018-03-02,31329.56
2018-03-03,25605.89
2018-03-04,30852.12
2018-03-05,36822.59
2018-03-06,37898.81
2018-03-07,35126.92
2018-03-08,27521.600000000002
2018-03-09,27029.8
2018-03-10,25262.49
2018-03-11,30958.58
2018-03-12,30052.28
2018-03-13,33401.25
2018-03-14,22325.11
2018-03-15,41664.03
2018-03-16,31825.75
2018-03-17,19411.43
2018-03-18,30434.56
2018-03-19,42369.85
2018-03-20,34953.98
2018-03-21,39133.58
2018-03-22,30400.87
2018-03-23,26706.66
2018-03-24,23377.420000000002
2018-03-25,24278.31
2018-03-26,34360.33
2018-03-27,33609.86
2018-03-28,26818.15
2018-03-29,28336.37
2018-03-30,21871.83
2018-03-31,24386.83
2018-04-01,28553.63
2018-04-02,38062.42
2018-04-03,36092.92
2018-04-04,36516.21
2018-04-05,35675.47
2018-04-06,26478.36
2018-04-07,24874.1
2018-04-08,23055.28
2018-04-09,48503.07
2018-04-10,27341.12
2018-04-11,38258.14
2018-04-12,33923.78
2018-04-13,29605.91
2018-04-14,18653.71
2018-04-15,30171.31
2018-04-16,39843.36
2018-04-17,33777.37
2018-04-18,37961.99
2018-04-19,42669.45
2018-04-20,26822.14
2018-04-21,18799.37
2018-04-22,27171.0
2018-04-23,36605.69
2018-04-24,40142.58
2018-04-25,40621.4
2018-04-26,30681.07
2018-04-27,39506.8
2018-04-28,22511.91
2018-04-29,19156.84
2018-04-30,34754.05
2018-05-01,32695.0
2018-05-02,36411.93
2018-05-03,40006.97
2018-05-04,37565.42
2018-05-05,27695.36
2018-05-06,27800.55
2018-05-07,52641.63
2018-05-08,46952.9
2018-05-09,42029.6
2018-05-10,49689.88
2018-05-11,37785.29
2018-05-12,28598.24
2018-05-13,30918.52
2018-05-14,52493.2
2018-05-15,40807.55
2018-05-16,55562.13
2018-05-17,30876.73
2018-05-18,30941.63
2018-05-19,24489.59
2018-05-20,19163.58
2018-05-21,24546.19
2018-05-22,27229.09
2018-05-23,16231.35
2018-05-24,20023.26
2018-05-25,15888.92
2018-05-26,14799.17
2018-05-27,12523.25
