state_name,state_code,population
Acre,AC,830018
Alagoas,AL,3127683
Amapá,AP,733759
Amazonas,AM,3941613
Bahia,BA,14141626
Ceará,CE,8794957
Distrito Federal,DF,2817381
Espírito Santo,ES,17798
Goiás,GO,7056495
Maranhão,MA,6776699
Mato Grosso,MT,3658649
Mato Grosso do Sul,MS,2880308
Minas Gerais,MG,21279353
Pará,PA,8639532
Paraíba,PB,4175326
Paraná,PR,11623091
Pernambuco,PE,9645321
Piauí,PI,3341352
Rio de Janeiro,RJ,16055174
Rio Grande do Norte,RN,3619619
Rio Grande do Sul,RS,10882965
Rondônia,RO,1837905
Roraima,RR,708352
Santa Catarina,SC,36964
São Paulo,SP,44411238
Sergipe,SE,2403563
Tocantins,TO,1692452
