iter	RMSE
0	136.9057184
1	123.5074246
2	111.512707
3	100.6230184
4	90.8788237
5	82.11131596
6	74.11848026
7	66.92836561
8	60.4641149
9	54.62844571
10	49.43492278
11	44.73159475
12	40.54032764
13	36.77212422
14	33.36570359
15	30.37520961
16	27.65890744
17	25.24827054
18	23.09764625
19	21.22159508
20	19.53276006
21	18.04397153
22	16.74336188
23	15.58284468
24	14.57342073
25	13.70127504
26	12.93270185
27	12.25770246
28	11.68384911
29	11.20060313
30	10.77099087
31	10.42579405
32	10.13045807
33	9.893307327
34	9.679053736
35	9.4858649
36	9.328645166
37	9.195121098
38	9.092826735
39	8.997352238
40	8.917371532
41	8.847174273
42	8.792473994
43	8.747190496
44	8.71019514
45	8.676336486
46	8.650083652
47	8.631092492
48	8.604828693
49	8.584522132
50	8.566610584
51	8.552035728
52	8.538178938
53	8.527882743
54	8.520561985
55	8.51327355
56	8.503771679
57	8.49671884
58	8.490511846
59	8.482525095
60	8.476577413
61	8.472822935
62	8.467332041
63	8.461591365
64	8.457173103
65	8.453803855
66	8.449403283
67	8.441648828
68	8.437995858
69	8.434182742
70	8.43166192
71	8.425999423
72	8.423635197
73	8.419621422
74	8.417494371
75	8.415752027
76	8.413234635
77	8.409354247
78	8.406735155
79	8.402673594
80	8.401365684
81	8.397662221
82	8.395315501
83	8.389688027
84	8.387786308
85	8.384419138
86	8.382656016
87	8.379887528
88	8.378324086
89	8.375713965
90	8.374370817
91	8.372111252
92	8.369317187
93	8.365590322
94	8.364848613
95	8.360461263
96	8.358055151
97	8.356904071
98	8.353130902
99	8.350297945
100	8.348153701
101	8.344769531
102	8.342020942
103	8.341180642
104	8.339399518
105	8.3371484
106	8.332490071
107	8.330100227
108	8.327744871
109	8.325163497
110	8.323076906
111	8.320953105
112	8.318546145
113	8.315924383
114	8.314449011
115	8.31304877
116	8.310955036
117	8.308369449
118	8.304824197
119	8.303133509
120	8.301551736
121	8.297874774
122	8.295988124
123	8.293825817
124	8.290939811
125	8.287755747
126	8.285781995
127	8.284724825
128	8.283152166
129	8.280715774
130	8.278325763
131	8.276843686
132	8.274389801
133	8.272624572
134	8.26990611
135	8.268140513
136	8.267100407
137	8.264946342
138	8.262505348
139	8.26080307
140	8.258706447
141	8.257186558
142	8.253868055
143	8.250411867
144	8.2482308
145	8.247069982
146	8.243943247
147	8.241229677
148	8.239858258
149	8.237850197
150	8.235882556
151	8.234274364
152	8.232325361
153	8.231093273
154	8.229347215
155	8.227868754
156	8.225815072
157	8.224291369
158	8.222578497
159	8.219780768
160	8.218675454
161	8.21700001
162	8.215804862
163	8.214308715
164	8.21298427
165	8.211639447
166	8.210185467
167	8.208085899
168	8.206903536
169	8.204252364
170	8.202748117
171	8.201367327
172	8.200306532
173	8.19917011
174	8.197642653
175	8.196444336
176	8.195398616
177	8.194486152
178	8.193352592
179	8.192403978
180	8.190388092
181	8.189394293
182	8.188289573
183	8.187318506
184	8.186238638
185	8.185141979
186	8.183674013
187	8.182543254
188	8.181561576
189	8.180600441
190	8.178976747
191	8.177950602
192	8.17709415
193	8.175882075
194	8.174724866
195	8.173830762
196	8.172719095
197	8.172125336
198	8.170370504
199	8.169368744
200	8.168475801
201	8.16598468
202	8.164827034
203	8.163834603
204	8.162368643
205	8.161217949
206	8.160438983
207	8.159898454
208	8.158565823
209	8.157629531
210	8.156983778
211	8.154450015
212	8.15377368
213	8.152671116
214	8.149865822
215	8.149075504
216	8.148365982
217	8.147082534
218	8.1459641
219	8.145233811
220	8.144266444
221	8.143158093
222	8.142264485
223	8.14124796
224	8.139195074
225	8.137680429
226	8.136364806
227	8.135533636
228	8.134430681
229	8.133761574
230	8.132981203
231	8.131954097
232	8.131017666
233	8.130380674
234	8.129582671
235	8.128615878
236	8.127440865
237	8.126668412
238	8.126029307
239	8.125141772
240	8.124150024
241	8.123045468
242	8.121861095
243	8.121059624
244	8.120307833
245	8.119420076
246	8.118684374
247	8.117742607
248	8.117094853
249	8.116135647
250	8.115018281
251	8.114126873
252	8.11315078
253	8.112133392
254	8.111417476
255	8.110581615
256	8.110145186
257	8.109797871
258	8.10814429
259	8.107066553
260	8.106500365
261	8.105394527
262	8.104767034
263	8.104020296
264	8.102972163
265	8.101865745
266	8.100847816
267	8.099915607
268	8.099129545
269	8.098405102
270	8.097709454
271	8.097277145
272	8.096116394
273	8.095426552
274	8.094406979
275	8.093588355
276	8.092852476
277	8.092298572
278	8.090949146
279	8.090326751
280	8.088846477
281	8.087405762
282	8.086745969
283	8.085515999
284	8.085059725
285	8.084503659
286	8.083827249
287	8.083228468
288	8.082401832
289	8.081310334
290	8.080339935
291	8.079579397
292	8.078989747
293	8.077964689
294	8.075965921
295	8.075294881
296	8.074332732
297	8.073573513
298	8.072992922
299	8.072391991
300	8.071826453
301	8.071242928
302	8.07067612
303	8.068309383
304	8.067666191
305	8.066767394
306	8.065493125
307	8.064791127
308	8.063999221
309	8.063511148
310	8.062578103
311	8.061781119
312	8.060944267
313	8.060370378
314	8.059338922
315	8.058271973
316	8.057503897
317	8.056405209
318	8.055365606
319	8.054930172
320	8.054236542
321	8.053627049
322	8.052234847
323	8.051735153
324	8.050780438
325	8.050251155
326	8.049644461
327	8.049112719
328	8.048793828
329	8.048326918
330	8.047507142
331	8.045766699
332	8.045203306
333	8.044453555
334	8.043921423
335	8.043276998
336	8.042699345
337	8.041499821
338	8.041051863
339	8.040359331
340	8.040060521
341	8.039605341
342	8.038888547
343	8.037908946
344	8.037620928
345	8.036723248
346	8.036073506
347	8.035173004
348	8.03465247
349	8.034019366
350	8.033359924
351	8.032884367
352	8.032477917
353	8.03157548
354	8.031269281
355	8.030806656
356	8.030167823
357	8.029738799
358	8.029121959
359	8.02886016
360	8.028124813
361	8.027260437
362	8.026425752
363	8.025966849
364	8.025429651
365	8.024967656
366	8.02297551
367	8.021266645
368	8.02063034
369	8.020318023
370	8.019253408
371	8.018589275
372	8.01797844
373	8.017163436
374	8.016672579
375	8.01538251
376	8.015007928
377	8.014457084
378	8.013847216
379	8.013012468
380	8.01261803
381	8.012116432
382	8.011254733
383	8.009683755
384	8.009142331
385	8.00873582
386	8.007681616
387	8.007096299
388	8.006619891
389	8.004811071
390	8.004241679
391	8.003684848
392	8.002822855
393	8.002287076
394	8.001333519
395	8.00059512
396	8.000178837
397	7.999884158
398	7.999232609
399	7.99816912
400	7.997640667
401	7.996871763
402	7.996340614
403	7.995998172
404	7.99391219
405	7.993210414
406	7.992830842
407	7.992331177
408	7.990408129
409	7.989835762
410	7.989052848
411	7.987595615
412	7.986765148
413	7.986256278
414	7.985780123
415	7.984176913
416	7.983537856
417	7.980716192
418	7.980247344
419	7.979310845
420	7.978782971
421	7.978410559
422	7.97819469
423	7.977914606
424	7.977292975
425	7.976360123
426	7.974986394
427	7.974414897
428	7.973697244
429	7.973095095
430	7.972555928
431	7.971527638
432	7.970259748
433	7.970004621
434	7.969486689
435	7.968911472
436	7.96866528
437	7.967940942
438	7.967115189
439	7.966734115
440	7.965778913
441	7.965293476
442	7.964937777
443	7.964153048
444	7.963020052
445	7.961874133
446	7.961331146
447	7.960981473
448	7.959771975
449	7.959394712
450	7.958719473
451	7.958346866
452	7.95753825
453	7.956899105
454	7.955808896
455	7.955455857
456	7.955233432
457	7.954739825
458	7.954313116
459	7.953939246
460	7.953323963
461	7.952973629
462	7.952671289
463	7.952231715
464	7.951839919
465	7.951611783
466	7.950865424
467	7.949404707
468	7.94903163
469	7.947923935
470	7.946957137
471	7.946412776
472	7.946023463
473	7.945399807
474	7.944772056
475	7.943811209
476	7.943384017
477	7.94261543
478	7.94226011
479	7.941745016
480	7.941028043
481	7.940103262
482	7.939713531
483	7.939125282
484	7.938834873
485	7.937808728
486	7.936940817
487	7.936513839
488	7.935873562
489	7.935495083
490	7.935038248
491	7.934442183
492	7.934034394
493	7.933473457
494	7.933109921
495	7.932793731
496	7.932107248
497	7.931296994
498	7.930665719
499	7.930336891
500	7.929526056
501	7.928783523
502	7.92841743
503	7.927363296
504	7.926050017
505	7.925371672
506	7.925017544
507	7.924070936
508	7.923894913
509	7.923136883
510	7.921661939
511	7.920138553
512	7.919675569
513	7.919237708
514	7.918523473
515	7.91777205
516	7.917383253
517	7.917129515
518	7.916967998
519	7.916107352
520	7.915117744
521	7.913524979
522	7.913041368
523	7.912161916
524	7.911723479
525	7.911068148
526	7.910580958
527	7.910324252
528	7.909468272
529	7.908780745
530	7.908282531
531	7.907827809
532	7.907432447
533	7.906799317
534	7.906229578
535	7.905719181
536	7.90522699
537	7.904466162
538	7.902875575
539	7.902304134
540	7.901810717
541	7.900970861
542	7.900258823
543	7.899920114
544	7.898443719
545	7.897609567
546	7.897066651
547	7.896492137
548	7.896172204
549	7.895789416
550	7.895268214
551	7.894898782
552	7.894430889
553	7.893615057
554	7.892730658
555	7.892270634
556	7.891894932
557	7.891461291
558	7.891078337
559	7.89058364
560	7.889947606
561	7.889447849
562	7.888476944
563	7.887818336
564	7.887496357
565	7.887131171
566	7.886816334
567	7.88632463
568	7.885881705
569	7.884969
570	7.884612063
571	7.883811133
572	7.883371702
573	7.882844688
574	7.881767402
575	7.881424164
576	7.881140439
577	7.879530667
578	7.879190727
579	7.878692081
580	7.878308058
581	7.877974569
582	7.877320015
583	7.876345838
584	7.875970717
585	7.875689573
586	7.87490156
587	7.873993196
588	7.873139743
589	7.872520038
590	7.872017581
591	7.871610971
592	7.871171192
593	7.870801979
594	7.870506559
595	7.869891152
596	7.869329842
597	7.868787197
598	7.867856968
599	7.867368474
600	7.86688805
601	7.865514445
602	7.865031159
603	7.864147049
604	7.862793144
605	7.862453505
606	7.861617096
607	7.861374134
608	7.860839689
609	7.860372351
610	7.859976459
611	7.859566104
612	7.859088725
613	7.85877643
614	7.857465002
615	7.857034396
616	7.856572214
617	7.856433821
618	7.855483321
619	7.854729746
620	7.854323989
621	7.853624187
622	7.853016345
623	7.852641182
624	7.852248751
625	7.851911646
626	7.851446798
627	7.8508214
