iter	RMSE
0	137.2306695
1	123.8160383
2	111.68933
3	100.7513566
4	90.88755056
5	82.08847877
6	74.12183212
7	66.95063116
8	60.48202751
9	54.65624255
10	49.42348367
11	44.75996548
12	40.57833474
13	36.80410594
14	33.39065848
15	30.35216047
16	27.64653463
17	25.24164521
18	23.08898171
19	21.21209209
20	19.51006053
21	18.01337374
22	16.72039588
23	15.56996687
24	14.55929382
25	13.69664129
26	12.93086648
27	12.26313237
28	11.69839067
29	11.21929697
30	10.81101002
31	10.46801533
32	10.17410499
33	9.929500985
34	9.717853585
35	9.523628429
36	9.368833356
37	9.236250411
38	9.133911482
39	9.047966263
40	8.973462202
41	8.905846119
42	8.852136593
43	8.808940155
44	8.774573563
45	8.738613179
46	8.712194397
47	8.686536315
48	8.6614051
49	8.640771932
50	8.623706775
51	8.606824559
52	8.592165207
53	8.581480158
54	8.574653272
55	8.565265869
56	8.554714292
57	8.546350129
58	8.537415767
59	8.530246966
60	8.522753181
61	8.515600719
62	8.512013909
63	8.503900173
64	8.498940724
65	8.492731033
66	8.486780775
67	8.482594929
68	8.473875777
69	8.468922577
70	8.463729522
71	8.4598702
72	8.456932734
73	8.451596014
74	8.446967051
75	8.443393485
76	8.440215613
77	8.43599448
78	8.432475009
79	8.429643717
80	8.427287591
81	8.424229969
82	8.421153081
83	8.416437696
84	8.411862419
85	8.409694087
86	8.407379045
87	8.405039117
88	8.403382988
89	8.400841344
90	8.3981789
91	8.396084067
92	8.392997991
93	8.39073914
94	8.386672941
95	8.383729527
96	8.3808818
97	8.378218286
98	8.376347364
99	8.372160642
100	8.370055242
101	8.367651346
102	8.363656389
103	8.361142455
104	8.358999947
105	8.357270921
106	8.354510599
107	8.353307582
108	8.352007619
109	8.348849309
110	8.347399915
111	8.345035265
112	8.343173954
113	8.341130943
114	8.339379397
115	8.336368762
116	8.335130247
117	8.332676458
118	8.331146736
119	8.328958565
120	8.327126544
121	8.324663225
122	8.321774101
123	8.318801909
124	8.315422785
125	8.312961308
126	8.310988098
127	8.308649099
128	8.306524643
129	8.305191022
130	8.303527241
131	8.301623679
132	8.30005027
133	8.298474225
134	8.296986491
135	8.295827158
136	8.293109342
137	8.291791098
138	8.28877147
139	8.285984457
140	8.283952613
141	8.282093856
142	8.280371487
143	8.278949111
144	8.27645792
145	8.274126544
146	8.273060185
147	8.26988808
148	8.264929295
149	8.262600406
150	8.261001204
151	8.258872349
152	8.257686521
153	8.256156608
154	8.25375592
155	8.250301925
156	8.2485582
157	8.246886856
158	8.245510045
159	8.243765743
160	8.242589907
161	8.241512885
162	8.240350254
163	8.239576116
164	8.237933806
165	8.236920243
166	8.2359691
167	8.234984252
168	8.233519466
169	8.231656024
170	8.23046092
171	8.229500793
172	8.227925208
173	8.226663803
174	8.226062363
175	8.225094961
176	8.224129997
177	8.22343808
178	8.221931841
179	8.220375134
180	8.219275115
181	8.21788591
182	8.216587028
183	8.215614689
184	8.214741579
185	8.213825857
186	8.21290094
187	8.211531607
188	8.210319139
189	8.209532749
190	8.208728681
191	8.207211878
192	8.206107407
193	8.204650123
194	8.203792446
195	8.202022834
196	8.200219889
197	8.199389624
198	8.19851223
199	8.197654868
200	8.19678714
201	8.195134527
202	8.193883801
203	8.193099209
204	8.191945149
205	8.190674892
206	8.188502577
207	8.184001317
208	8.182850728
209	8.180899763
210	8.178625113
211	8.175000682
212	8.173958333
213	8.173041669
214	8.172153552
215	8.171518012
216	8.169327286
217	8.1674259
218	8.166951599
219	8.165740525
220	8.164978596
221	8.164163819
222	8.162363143
223	8.161677823
