iter	Passed	Remaining
0	70	70253
1	123	61705
2	165	55139
3	206	51371
4	255	50802
5	307	51007
6	359	51058
7	432	53667
8	507	55894
9	554	54867
10	601	54110
11	653	53776
12	717	54474
13	770	54246
14	819	53810
15	872	53647
16	943	54558
17	1001	54664
18	1066	55081
19	1117	54762
20	1168	54489
21	1210	53824
22	1275	54191
23	1366	55563
24	1425	55588
25	1483	55556
26	1519	54770
27	1563	54288
28	1603	53694
29	1672	54079
30	1728	54014
31	1821	55096
32	1868	54755
33	1911	54295
34	1945	53651
35	1972	52830
36	2006	52212
37	2036	51549
38	2066	50923
39	2105	50533
40	2144	50162
41	2182	49776
42	2227	49580
43	2303	50042
44	2343	49734
45	2398	49751
46	2444	49562
47	2474	49076
48	2501	48557
49	2530	48080
50	2570	47837
51	2598	47380
52	2674	47787
53	2741	48020
54	2788	47914
55	2831	47731
56	2861	47332
57	2885	46869
58	2918	46555
59	2952	46252
60	2982	45910
61	3011	45562
62	3038	45189
63	3070	44906
64	3116	44830
65	3147	44548
66	3174	44213
67	3206	43950
68	3236	43662
69	3278	43555
70	3302	43211
71	3335	42992
72	3362	42704
73	3390	42432
74	3414	42114
75	3445	41888
76	3485	41778
77	3542	41873
78	3601	41985
79	3663	42128
80	3724	42261
81	3767	42179
82	3818	42188
83	3860	42102
84	3903	42024
85	3944	41920
86	4029	42283
87	4103	42527
88	4147	42458
89	4185	42318
90	4216	42123
91	4255	42004
92	4294	41885
93	4338	41818
94	4374	41673
95	4410	41535
96	4454	41465
97	4501	41428
98	4534	41268
99	4561	41051
100	4636	41266
101	4687	41271
102	4742	41298
103	4782	41200
104	4815	41043
105	4841	40832
106	4880	40728
107	4918	40619
108	4952	40480
109	5000	40460
110	5030	40291
111	5063	40146
112	5088	39942
113	5117	39773
114	5139	39548
115	5165	39364
116	5209	39315
117	5242	39184
118	5276	39066
119	5366	39353
120	5499	39951
121	5543	39892
122	5598	39917
123	5694	40230
124	5756	40292
125	5793	40187
126	5825	40044
127	5868	39978
128	5908	39894
129	5951	39831
130	5983	39692
131	6016	39561
132	6046	39415
133	6075	39261
134	6101	39092
135	6134	38974
136	6163	38824
137	6190	38667
138	6216	38507
139	6252	38407
140	6305	38414
141	6388	38600
142	6454	38683
143	6525	38791
144	6589	38852
145	6655	38931
146	6692	38835
147	6734	38767
148	6782	38734
149	6838	38752
150	6882	38697
151	6921	38616
152	6970	38586
153	7032	38632
154	7080	38598
155	7104	38434
156	7131	38291
157	7159	38154
158	7196	38062
159	7222	37918
160	7266	37868
161	7294	37734
162	7322	37602
163	7348	37460
164	7377	37333
165	7407	37214
166	7433	37078
167	7469	36993
168	7500	36880
169	7550	36862
170	7678	37222
171	7740	37260
172	7773	37158
173	7801	37036
174	7828	36906
175	7856	36784
176	7882	36650
177	7907	36516
178	7935	36395
179	7962	36272
180	7993	36171
181	8036	36121
182	8069	36024
183	8109	35965
184	8154	35921
185	8242	36071
186	8320	36172
187	8496	36696
188	8626	37017
189	8698	37083
190	8743	37033
191	8811	37082
192	8906	37239
193	8953	37200
194	9006	37179
195	9103	37341
196	9183	37431
197	9461	38322
198	10114	40711
199	10249	40996
200	10355	41162
201	10442	41254
202	10590	41579
203	10697	41739
204	10794	41861
205	10845	41802
206	10883	41692
207	10942	41665
208	11007	41661
209	11048	41562
210	11093	41481
211	11142	41416
212	11249	41565
213	11445	42039
214	11558	42201
215	11613	42153
216	11691	42185
217	11756	42171
218	11797	42071
219	11860	42052
220	11967	42182
221	12134	42525
222	12237	42640
223	12304	42625
224	12417	42772
225	12544	42963
226	12661	43115
227	12711	43040
228	12823	43174
229	12999	43520
230	13080	43544
231	13153	43542
232	13229	43549
233	13273	43450
234	13318	43355
235	13367	43272
236	13410	43173
237	13451	43068
238	13523	43058
239	13577	42994
240	13699	43144
241	13788	43189
242	13880	43242
243	13972	43290
244	14039	43264
245	14100	43217
246	14146	43127
247	14231	43153
248	14385	43388
249	14429	43288
250	14481	43212
251	14577	43270
252	14663	43294
253	14729	43260
254	14805	43255
255	14911	43337
256	14986	43326
257	15124	43497
